DATE,SHARE_CODE,ISSUER_NAME,INVESTOR_NAME,INVESTOR_TYPE,LOCAL_FOREIGN,NATIONALITY,DOMICILE,HOLDINGS_SCRIPLESS,HOLDINGS_SCRIP,TOTAL_HOLDING_SHARES,PERCENTAGE
02-27-26,AADI,ADARO ANDALAN INDONESIA Tbk,ADARO STRATEGIC INVESTMENTS,CP,L,,INDONESIA,3.200.142.830,0,3.200.142.830,41.0000000
02-27-26,AADI,ADARO ANDALAN INDONESIA Tbk,ALAMTRI RESOURCES INDONESIA TBK PT,CP,L,,INDONESIA,01-23-97,0,01-23-97,"15.0,37"
02-27-26,AADI,ADARO ANDALAN INDONESIA Tbk,GARIBALDI THOHIR,ID,L,INDONESIAN,INDONESIA,454.01100000007,0,454.01100000007,"5.0,83"
02-27-26,AADI,ADARO ANDALAN INDONESIA Tbk,SARATOGA INVESTAMA SEDAYA TBK PT,CP,L,,INDONESIA,340.8970.429,0,340.8970.429,"4.0,38"
02-27-26,AADI,ADARO ANDALAN INDONESIA Tbk,EDWIN SOERYADJAYA,ID,L,INDONESIAN,INDONESIA,273.9550.636,0,273.9550.636,"0.0,52"
02-27-26,AADI,ADARO ANDALAN INDONESIA Tbk,IR. T. PERMADI RACHMAT,ID,L,INDONESIAN,INDONESIA,254.9920.918,0,254.9920.918,"0.0,27"
02-27-26,AADI,ADARO ANDALAN INDONESIA Tbk,SANDIAGA SALAHUDDIN UNO,ID,L,INDONESIAN,INDONESIA,159.0270.175,0,159.0270.175,2.000004
02-27-26,AADI,ADARO ANDALAN INDONESIA Tbk,PERSADA CAPITAL INVESTAMA,CP,L,,INDONESIA,119.887000000000,0,119.887000000000,"1.0,54"
02-27-26,AADI,ADARO ANDALAN INDONESIA Tbk,FTAG INVESTMENT BANK LTD,IB,A,,MALAYSIA,100.722000000000,0,100.722000000000,"0.0,29"
02-27-26,AADI,ADARO ANDALAN INDONESIA Tbk,PT TRINUGRAHA THOHIR,CP,L,,INDONESIA,89.926000000000,0,89.926000000000,"1.0,15"
02-27-26,AALI,ASTRA AGRO LESTARI Tbk,PT ASTRA INTERNATIONAL TBK,CP,L,,INDONESIA,0,1.533.682.440,1.533.682.440,"79.0,68"
02-27-26,AALI,ASTRA AGRO LESTARI Tbk,DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,IS,L,,INDONESIA,41.979000000000,0,41.979000000000,"2.0,18"
02-27-26,ABBA,MAHAKA MEDIA Tbk,PT. Beyond Media,CP,L,,INDONESIA,1.592.831.618,0,1.592.831.618,"40.0,47"
02-27-26,ABBA,MAHAKA MEDIA Tbk,SOLIC KREASI BARU PT,CP,L,,INDONESIA,0.0.122,0,0.0.122,"13.0,77"
02-27-26,ABBA,MAHAKA MEDIA Tbk,MEDIAHUIS IRELAND LIMITED,,,,,0,282.886000000000,282.886000000000,"7.0,19"
02-27-26,ABBA,MAHAKA MEDIA Tbk,DRS. WINARTO,ID,L,INDONESIAN,,178.745000000000,0,178.745000000000,"4.0,54"
02-27-26,ABBA,MAHAKA MEDIA Tbk,YAYASAN ABDI BANGSA,,,,,0,111.3720.886,111.3720.886,"2.0,83"
02-27-26,ABBA,MAHAKA MEDIA Tbk,YAYASAN BINA SEJAHTERA WARGA BULOG,,,,,0,52.9750.286,52.9750.286,"1.0,35"
02-27-26,ABBA,MAHAKA MEDIA Tbk,KAIROS EKSPRES INTERNASIONAL PT,CP,L,,INDONESIA,52.362000000000,0,52.362000000000,"1.0,33"
02-27-26,ABBA,MAHAKA MEDIA Tbk,PT.Grid One Media,CP,L,,INDONESIA,43.7910.628,0,43.7910.628,"1.0,11"
02-27-26,ABBA,MAHAKA MEDIA Tbk,TJEN FOENG FA,ID,L,INDONESIAN,INDONESIA,41.856000000000,0,41.856000000000,1.000006
02-27-26,ABBA,MAHAKA MEDIA Tbk,PEARL HILL INVESTMENTS LTD,IB,A,,"VIRGIN ISLANDS, BRITISH",39.9990.999,0,39.9990.999,"0.0,02"
02-27-26,ABDA,ASURANSI BINA DANA ARTA Tbk,OONA INDONESIA PTE LTD,IS,A,,SINGAPORE,538.55500000004,0,538.55500000004,"86.0,75"
02-27-26,ABDA,ASURANSI BINA DANA ARTA Tbk,MAYBANK SECURITIES PTE. LTD.,SC,A,,SINGAPORE,30.499000000000,0,30.499000000000,"4.0,91"
02-27-26,ABDA,ASURANSI BINA DANA ARTA Tbk,DBS BANK LTD.,IB,A,,SINGAPORE,28.000000000,0,28.000000000,"4.0,51"
02-27-26,ABDA,ASURANSI BINA DANA ARTA Tbk,SKYLIGHT INVESTMENT LTD,CP,A,,CAYMAN ISLANDS,21.7280.234,0,21.7280.234,3.0000000
02-27-26,ABMM,ABM INVESTAMA Tbk,PT TIARA MARGA TRAKINDO,CP,L,,INDONESIA,1.474.573.133,0,1.474.573.133,"53.0,56"
02-27-26,ABMM,ABM INVESTAMA Tbk,VALLE VERDE PTE LTD,CP,A,,SINGAPORE,702.3490.867,0,702.3490.867,"25.0,51"
02-27-26,ABMM,ABM INVESTAMA Tbk,LO KHENG HONG. DRS,ID,L,INDONESIAN,INDONESIA,154.835000000000,0,154.835000000000,"0.0,62"
02-27-26,ABMM,ABM INVESTAMA Tbk,NOBLE INVESTMENT CORPORATION (SPC) LTD.,CP,A,,CAYMAN ISLANDS,96.446000000000,0,96.446000000000,3.0000000
02-27-26,ACES,ASPIRASI HIDUP INDONESIA Tbk,PT KAWAN LAMA SEJAHTERA,CP,L,,INDONESIA,10.272.189.700,0,10.272.189.700,60.0000000
02-27-26,ACES,ASPIRASI HIDUP INDONESIA Tbk,DBS BANK LTD S/A ALBIZIA ASEAN OPPORTUNITIES FUND,IB,A,,UNITED KINGDOM,494.894000000000,0,494.894000000000,"2.0,89"
02-27-26,ACES,ASPIRASI HIDUP INDONESIA Tbk,GOVERNMENT OF NORWAY,OT,A,,NORWAY,236.964000000000,0,236.964000000000,"1.0,38"
02-27-26,ACES,ASPIRASI HIDUP INDONESIA Tbk,ARISAIG ASIA FUND LIMITED,OT,A,,"VIRGIN ISLANDS, BRITISH",206.512000000000,0,206.512000000000,"0.0,21"
02-27-26,ACES,ASPIRASI HIDUP INDONESIA Tbk,NT TST CO S/A EDGBASTON ASIAN EQUITY (JERSEY) TRUST,OT,A,,JERSEY,194.347000000000,0,194.347000000000,"1.0,14"
02-27-26,ACES,ASPIRASI HIDUP INDONESIA Tbk,PT PRUDENTIAL LIFE ASSURANCE,IS,L,,INDONESIA,182.363000000000,0,182.363000000000,1.000007
02-27-26,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,TAE SUNG CHUNG,ID,L,SOUTH KOREAN,INDONESIA,2.720.072.495,0,2.720.072.495,78.0000000
02-27-26,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,JOO HEE KO,ID,L,SOUTH KOREAN,INDONESIA,155.398000000000,0,155.398000000000,"4.0,48"
02-27-26,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,SUMAN KIM,ID,L,SOUTH KOREAN,INDONESIA,131.628000000000,0,131.628000000000,"3.0,79"
02-27-26,ACRO,SAMCRO HYOSUNG ADILESTARI Tbk,KYUNGHEE KO,ID,A,SOUTH KOREAN,INDONESIA,106.185000000000,0,106.185000000000,3.000006
02-27-26,ACST,ACSET INDONUSA Tbk,PT. KARYA SUPRA PERKASA,CP,L,,INDONESIA,16.115.027.968,0,16.115.027.968,"91.0,17"
02-27-26,ADCP,ADHI COMMUTER PROPERTI Tbk,ADHI KARYA PERSERO TBK PT.,CP,L,,INDONESIA,0,19.999.900.000,19.999.900.000,90.0000000
02-27-26,ADES,AKASHA WIRA INTERNATIONAL Tbk,WATER PARTNERS BOTTLING SA,CP,A,,SWITZERLAND,538.8960.713,0,538.8960.713,"91.0,35"
02-27-26,ADES,AKASHA WIRA INTERNATIONAL Tbk,DRS SURONO SUBEKTI,ID,L,INDONESIAN,INDONESIA,6.106000000000,0,6.106000000000,1.000004
